doc_id,documento,tema_id,tema,palabras_clave
0,la transformacion llego a laflorida a traves de lashuellasdelatransformacion aquigobiernalaesperanza naucalpan,4,Morena (+ / neutro),transformacion
1,la transformacion llego a laflorida a traves de lashuellasdelatransformacion con la instalacion y sustitucion de luminarias mejoramiento de areas recreativas hoy la florida cuenta con entornos dignos para las familias naucalpenses aquigobiernalaesperanza,0,Servicios,luminarias
2,acompane a elizabeth rocha encargada de las becas para el bienestar del gobierno de mexico en el cuarto dia de entrega de tarjetas de la becaritacetina en esta jornada realizada en sanagustin mas de mil estudiantes de educacion basica recibieron este apoyo naucalpan,-1,No clasificado,
3,con bailes y sorpresas celebramos una nueva huelladelmundialsocial con la que transformamos integralmente la cancha y el parque de la calle maritan para ponerlos al servicio de las familias de la comunidad aquigobiernalaesperanza naucalpan huellasdelatransfomacion,2,Vialidades,calle
4,concluimos una jornada historica de entrega de tarjetas del programa mujeresconbienestar en ciudad naucalpan acompanando a juan carlos gonzalez romero secretario de bienestar del estadodemexico,-1,No clasificado,
5,acompane al mtro juan carlos gonzalez secretario de bienestar del estadodemexico en el segundo dia de entrega de tarjetas del programa mujeres con bienestar aquigobiernalaesperanza naucalpan,-1,No clasificado,
6,a dos anos del triunfo de nuestro movimiento respaldado por mas de mil naucalpenses hoy refrendamos nuestro compromiso con todas y todos los servidores publicos que formamos parte de este gobierno transformador naucalpan,4,Morena (+ / neutro),movimiento
7,acompane a elizabeth rocha encargada de las becas para el bienestar del gobierno de mexico en el tercer dia de entrega de tarjetas de la beca ritacetina en esta jornada fueron entregadas mas de tarjetas que beneficiaran a estudiantes de educacion basica naucalpan,-1,No clasificado,
8,hoy acompane a elizabeth rocha en esta segunda jornada donde fueron entregadas mas de tarjetas de las becasritacetina en el parque la hormiga beneficiando a estudiantes de escuelas de colonias aquigobiernalaesperanza naucalpan,-1,No clasificado,
9,con el objetivo de fortalecer la economia de las mujeres jefas de familia en la region el gobierno del estado de mexico encabezada por nuestra gobernadora la maestra delfina gomez alvarez realizo la entrega de tarjetas del programa mujeres con bienestar en naucalpan,-1,No clasificado,
10,asisti a la entrega de las becasritacetina junto a elizabeth rocha martinez encargada de las becas para el bienestar del gobiernodemexico mas de familias de chimalpa recibieron este apoyo aquigobiernalaesperanza naucalpan,-1,No clasificado,
11,hoy naucalpan se hizo presente con amor y conviccion t edomex claudiadaresultados,-1,No clasificado,
12,desde tlalnepantla las y los naucalpenses respondimos al llamado de nuestra presidenta de mexico la dra claudia sheinbaum pardo junto a nuestra gobernadora delfina gomez alvarez refrendamos nuestro compromiso con un proyecto que impulsa el bienestar t,3,Obras y proyectos,proyecto
13,mananera del pueblo naucalpan cuartatransformacion,-1,No clasificado,
14,hoy vivimos una verdadera fiesta comunitaria en la colonia alfredovbonfil con la transformacion de la cancha las torres un espacio que durante anos fue solicitado por las y los vecinos y que hoy renace como un lugar digno para nuestras juventudes aquigobiernalaesperanza,4,Morena (+ / neutro),transformacion
15,evitar tirar basura en calles rios y cuerpos de agua ayuda a prevenir inundaciones y cuidar nuestro entorno aquigobiernalaesperanza naucalpan porunnaucalpanlimpio,0,Servicios,"agua, basura, inundaciones, tirar"
16,como parte de las huellasdelatransformacion el gobierno de ciudad naucalpan encabezado por el presidente municipal isaac montoya realizo la rehabilitacion integral de espacios deportivos y recreativos en el fraccionamiento laflorida aquigobiernalaesperanza,3,Obras y proyectos,rehabilitacion
17,con el objetivo de revertir anos de abandono en la infraestructura hidrica y garantizar el suministro de agua para la comunidad el gobierno de naucalpan entrego la rehabilitacion integral del tanque de agua potable de jardinesdelaflorida aquigobiernalaesperanza oapas,0,Servicios,"agua, oapas, potable, suministro"
18,en coordinacion con la secretaria de cultura y turismo del edomex y como parte de las iniciativas para recuperar espacios publicos y fortalecer la convivencia comunitaria el gobierno de naucalpan llevo a cabo una funcion gratuita de cine en el deportivo de marzo,-1,No clasificado,
19,sabias que en corea japon oliver kahn tuvo una actuacion legendaria siendo el pilar de alemania hasta la final del torneo aquigobiernalaesperanza huellasdelmundial naucalpan,-1,No clasificado,
20,oficina movil aquigobiernalaesperanza naucalpan,-1,No clasificado,
21,en el marco del dia mundial del medio ambiente el gobierno de ciudad naucalpan llevo a cabo una jornada de concientizacion y educacion ambiental en el cerro de moctezuma aquigobiernalaesperanza naucalpan diamundialdelmedioambiente,-1,No clasificado,
22,mas familias naucalpenses continuan recibiendo las becaritacetina como parte del cuarto dia de entrega de tarjetas de este programa impulsado por el gobierno de mexico se otorgaron apoyos a estudiantes de educacion basica en san agustin naucalpan,-1,No clasificado,
23,las huella del mundialsocial llegaron a las huertas tercera seccion donde antes habia un espacio en abandono hoy hay un lugar para el deporte la convivencia y el bienestar de las familias aquigobiernalaesperanza naucalpan huellas,-1,No clasificado,
24,en el marco del dia mundial del medioambiente el gobierno de naucalpan llevo a cabo una jornada de concientizacion y educacion ambiental en el cerrodemoctezuma con actividades dirigidas a promover el cuidado de nuestros recursos naturales y biodiversidad,-1,No clasificado,
25,en coordinacion con el gobierno del estadodemexico ciudad naucalpan fue sede de la entrega de mil tarjetas del programa mujeresconbienestar para fortalecer la economia de las mujeres y contribuir al bienestar de sus familias,-1,No clasificado,
26,sabias que en francia ronaldo fue reconocido como el mejor jugador del torneo tras anotar goles y destacar durante toda la competencia aquigobiernalaesperanza huellasdelmundial naucalpan,-1,No clasificado,
27,en el marco de la exposeguridadmexico el presidente municipal isaac montoya participo en el encuentro nacional de ciudades seguras donde presento las acciones y resultados que han permitido fortalecer la seguridad y recuperar la confianza ciudadana en el municipio,1,Seguridad,seguridad
28,tienes adeudos te invitamos a aprovechar el de condonacion en multas y recargos generados por adeudos del ejercicio fiscal y anos anteriores consulta la imagen para mas detalles aquigobiernalaesperanza naucalpan tesoreriamunicipal,-1,No clasificado,
29,impulsamos el empleo en ciudad naucalpan acercate registrate y haz crecer tu empresa con el talento de nuestra gente aquigobiernalaesperanza naucalpan fomentoeconomico,-1,No clasificado,
30,este sabado de junio el gobierno de ciudad naucalpan te invita al parquenaucalli a partir de las a m no faltes te esperamos aquigobiernalaesperanza naucalpan seressintientes,-1,No clasificado,
31,en coordinacion con el gobierno del edomex se llevo a cabo el segundo dia de entrega de tarjetas del programa mujeres con bienestar en ciudad naucalpan una iniciativa que fortalece la economia de las mujeres aquigobiernalaesperanza,-1,No clasificado,
32,sabias que en estados unidos romario fue la maxima figura de brasil liderando a su seleccion para conquistar su cuarto titulo mundial y siendo reconocido como el mejor jugador del torneo aquigobiernalaesperanza huellasdelmundial naucalpan,-1,No clasificado,
33,bienestar y servicios gratuitos llegaron a izcallichamapa con la caravana estamos contigo el gobierno de ciudad naucalpan a traves del imnis acerco a las familias servicios que contribuyen al bienestar de la comunidad en general,-1,No clasificado,
34,bienestar y servicios gratuitos llegaron a izcalli chamapa aquigobiernalaesperanza naucalpan imnis,-1,No clasificado,
35,rehabilitacion de la interseccion semaforizada del cruce de avenida universidad y morelos seguimos trabajando para construir una ciudad mas ordenada segura y funcional para todas y todos aquigobiernalaesperanza naucalpan movilidad,2,Vialidades,"avenida, cruce"
36,con el objetivo de fortalecer la economia de las mujeres jefas de familia en la region el gobierno del edomex encabezado por la maestra delfina gomez alvarez realizo la entrega de tarjetas del programa estatal mujeres con bienestar en ciudad naucalpan,-1,No clasificado,
37,cartelera mensual de junio imnis aquigobiernalaesperanza naucalpan imnis,-1,No clasificado,
38,a traves del gobierno de mexico la secretaria de educacion y programas para el bienestar el alcalde isaac montoya acompano a elizabeth rocha encargada de las becas para el bienestar del gobierno de mexico a la entrega de las becas ritacetina naucalpan,-1,No clasificado,
39,la verdad es que es mentira invitamos a la ciudadania a consultar unicamente fuentes oficiales y verificar la informacion antes de compartirla naucalpan,-1,No clasificado,
40,informar no provoca protege hablar del suicidio con informacion clara y sin prejuicios puede salvar vidas aquigobiernalaesperanza naucalpan prevenirescuidar,-1,No clasificado,
41,servicio de relevo este servicio es para ti usalo cuando lo necesites aquigobiernalaesperanza naucalpan inclusion lenguadesenas servicioderelevo,-1,No clasificado,
42,registro civil de ciudad naucalpan consulta toda la informacion en las imagenes aquigobiernalaesperanza naucalpan registrocivil,-1,No clasificado,
43,buscas donde realizar tu servicio social o practicas profesionales consulta en las imagenes los requisitos horarios y datos de contacto da el siguiente paso en tu formacion y pon tu talento al servicio de tu comunidad aquigobiernalaesperanza naucalpan juventudes,-1,No clasificado,
44,conoce los modulos hospitalarios de ciudad naucalpan consulta toda la informacion en las imagenes aquigobiernalaesperanza naucalpan salud registrocivil,-1,No clasificado,
45,sabias que en italia salvatore schillaci fue la gran revelacion del torneo anotando goles que le valieron la bota de oro y el balon de oro aquigobiernalaesperanza huellasdelmundial naucalpan,-1,No clasificado,
46,conoce la cartelera de actividades de junio no te quedes fuera y comparte esta informacion con tu familia y amistades aquigobiernalaesperanza naucalpan junioennaucalpan,-1,No clasificado,
47,aviso importante servicio militar nacional consulta la imagen para mas informacion aquigobiernalaesperanza naucalpan smn serviciomilitar sedena,-1,No clasificado,
48,el alcalde isaac montoya acompanado de elizabeth rocha encargada de las becas para el bienestar del gobierno de mexico acudieron a chimalpa para entregar mas de tarjetas del programa becasritacetina para apoyo de uniformes y utiles escolares de educacion primaria,-1,No clasificado,
49,cuidar nuestros arboles es proteger el futuro de ciudad naucalpan danar afectar o derribar arboles sin permiso puede generar sanciones economicas y administrativas aquigobiernalaesperanza naucalpan medioambiente,-1,No clasificado,
50,huellas de la transformacion aquigobiernalaesperanza naucalpan mexico,4,Morena (+ / neutro),transformacion
51,conoce la cartelera de actividades de junio no te quedes fuera y comparte esta informacion con tu familia y amistades aquigobiernalaesperanza naucalpan junio,-1,No clasificado,
52,acercate a la caravana estamos contigo y conoce los servicios gratuitos que el gobierno de ciudad naucalpan acerca a las mujeres y sus familias para promover su bienestar autonomia y desarrollo naucalpan,3,Obras y proyectos,desarrollo
53,con el objetivo de articular esfuerzos interinstitucionales entre dependencias estatales y federales instituciones financieras academicas y fundaciones se llevo a cabo una de las caravanas de impulso economico y empleo a las afueras de la basilica de los remedios naucalpan,-1,No clasificado,
54,te compartimos el comunicado no en su version de lectura facil esta version esta elaborada con un lenguaje claro y sencillo para facilitar la comprension de la informacion aquigobiernalaesperanza naucalpan lecturafacil,-1,No clasificado,
55,recuperacion de vehiculo en san rafael chamapa estos resultados son gracias al trabajo coordinado con la guardia nacional la sedena y la policia estatal en el marco de la estrategia operativa oriente aquigobiernalaesperanza naucalpan guardiamunicipal seguridad,1,Seguridad,"guardia, policia, seguridad"
56,la transformacion llego a laflorida a traves de lashuellasdelatransformacion hoy las familias cuentan con espacios publicos mas seguros iluminados y dignos para convivir hacer deporte y disfrutar de su comunidad instalacion y sustitucion de luminarias y postes aplicacion de toneladas de mezcla asfaltica clareo y poda de arboles rehabilitacion y pintura de canchas deportivas balizamiento de calles topes y cruces peatonales mejoramiento de parques camellones y areas recreativas colocacion de mobiliario urbano y nuevo juego infantil limpieza general de areas verdes aquigobiernalaesperanza naucalpan huellasdelatransformacion,0,Servicios,"limpieza, luminarias, postes"
57,como parte de las huellasdelatransformacion el gobierno de ciudad naucalpan encabezado por el presidente municipal isaac montoya realizo la rehabilitacion integral de espacios deportivos y recreativos en el fraccionamiento laflorida donde se realizaron trabajos para fortalecer la seguridad mejorar la imagen urbana y generar entornos mas dignos para la convivencia comunitaria entre los trabajos realizados destacan la instalacion y sustitucion de luminarias bacheo poda y clareo de arboles rehabilitacion de canchas deportivas balizamiento colocacion de mobiliario urbano renovacion de areas recreativas y limpieza de espacios publicos continuamos recuperando espacios publicos y construyendo comunidades mas seguras ordenadas y con mejor calidad de vida para todas y todos aquigobiernalaesperanza naucalpan,3,Obras y proyectos,"rehabilitacion, renovacion"
58,la transformacion llego a laflorida a traves de lashuellasdelatransformacion trabajos realizados instalacion y sustitucion de luminarias y postes aplicacion de toneladas de mezcla asfaltica clareo y poda de arboles rehabilitacion y pintura de canchas deportivas balizamiento de calles topes y cruces peatonales mejoramiento de parques camellones y areas recreativas colocacion de mobiliario urbano y nuevo juego infantil limpieza general de areas verdes aquigobiernalaesperanza naucalpan huellasdelatransformacion,0,Servicios,"limpieza, luminarias, postes"
59,la transformacion llego a la florida hoy las familias cuentan con espacios publicos mas seguros iluminados y dignos para convivir hacer deporte y disfrutar de su comunidad instalacion y sustitucion de luminarias y postes aplicacion de toneladas de mezcla asfaltica clareo y poda de arboles rehabilitacion y pintura de canchas deportivas balizamiento de calles topes y cruces peatonales mejoramiento de parques camellones y areas recreativas colocacion de mobiliario urbano y nuevo juego infantil limpieza general de areas verdes aquigobiernalaesperanza naucalpan huellasdelatransformacion,0,Servicios,"limpieza, luminarias, postes"
60,la transformacion llego a laflorida a traves de lashuellasdelatransformacion con la instalacion y sustitucion de luminarias trabajos de bacheo rehabilitacion de canchas deportivas poda de arboles balizamiento mejoramiento de areas recreativas y limpieza de espacios publicos hoy la florida cuenta con entornos mas seguros ordenados y funcionales para la convivencia de las familias naucalpenses esta intervencion integral tiene como objetivo recuperar espacios publicos fortalecer la seguridad y contribuir a una mejor calidad de vida para las familias de este fraccionamiento porque transformar tambien es recuperar la prosperidad de nuestras comunidades y devolver a las familias espacios dignos para convivir hacer deporte y disfrutar de su entorno aquigobiernalaesperanza naucalpan huellasdelatransformacion,0,Servicios,"limpieza, luminarias"
61,entregamos la rehabilitacion integral del tanque de agua potable de jardinesdelaflorida una obra estrategica que durante anos fue necesaria y que hoy garantiza un mejor servicio para mas de mil habitantes de esta comunidad recuperamos infraestructura fundamental para el abastecimiento de agua modernizamos los equipos de bombeo rehabilitamos la estructura del tanque y fortalecimos su operacion con tecnologia que permitira monitorear el sistema en tiempo real para brindar un servicio mas eficiente y confiable aquigobiernalaesperanza naucalpan oapas,0,Servicios,"agua, bombeo, oapas, potable"
62,con el objetivo de revertir anos de abandono en la infraestructura hidrica y garantizar el suministro de agua para la comunidad el gobierno de ciudad naucalpan encabezado por el alcalde isaac montoya entrego la rehabilitacion integral del tanque de agua potable ubicado en la colonia jardinesdelaflorida esta obra estrategica impactara de manera directa y positiva en la calidad de vida de mas de mil habitantes de la zona ademas se incorporo tecnologia de monitoreo en tiempo real mediante la actualizacion del sistema scada un paso importante hacia la construccion del futuro c del agua que permitira optimizar la operacion hidraulica y fortalecer la atencion a las y los usuarios aquigobiernalaesperanza naucalpan oapas,0,Servicios,"agua, hidraulica, oapas, potable, suministro"
63,recuperacion de vehiculo en san luis tlatilco estos resultados son gracias al trabajo coordinado con la guardia nacional la sedena y la policia estatal en el marco de la estrategia operativa oriente aquigobiernalaesperanza naucalpan guardiamunicipal seguridad,1,Seguridad,"guardia, policia, seguridad"
64,entregamos la rehabilitacion integral del tanque de agua potable de jardinesdelaflorida una obra estrategica que durante anos fue necesaria y que hoy garantiza un mejor servicio para mas de mil habitantes de esta comunidad recuperamos infraestructura fundamental para el abastecimiento de agua modernizamos los equipos de bombeo rehabilitamos la estructura del tanque y fortalecimos su operacion con tecnologia que permitira monitorear el sistema en tiempo real para brindar un servicio mas eficiente y confiable ademas damos un paso historico hacia la modernizacion de ciudad naucalpan con la actualizacion del sistema de telemetria que forma parte de la construccion del futuro c del agua una herramienta que nos permitira anticiparnos a los problemas y mejorar la operacion hidraulica las horas del dia aquigobiernalaesperanza naucalpan oapas,0,Servicios,"agua, bombeo, hidraulica, oapas, potable"
65,el cine llego a la comunidad para disfrutar en familia como parte de las acciones para recuperar espacios publicos y fortalecer la convivencia comunitaria el gobierno de naucalpan llevo a cabo una funcion gratuita de cine en el deportivo de marzo donde ninas ninos y sus familias disfrutaron de la pelicula minutos a traves de la direccion de bienestar e inclusion social y la subdireccion de cultura en coordinacion con la secretaria de cultura y turismo del estado de mexico se acercaron actividades culturales gratuitas a la comunidad promoviendo el acceso al arte la recreacion y el sano esparcimiento estas acciones contribuyen a fortalecer el tejido social y a convertir los espacios publicos en lugares de encuentro convivencia y bienestar para las familias naucalpenses aquigobiernalaesperanza naucalpan cultura bienestar minutos,-1,No clasificado,
66,detenido por presunto delito contra la salud en ciudad de los ninos estos resultados son gracias al trabajo coordinado con la guardia nacional la sedena y la policia estatal en el marco de la estrategia operativa oriente aquigobiernalaesperanza naucalpan guardiamunicipal seguridad,1,Seguridad,"detenido, guardia, policia, seguridad"
67,donde antes habia un espacio deteriorado hoy existe un punto de encuentro para la convivencia el deporte y el bienestar de las familias como parte de las huellas del mundial social el gobierno de ciudad naucalpan encabezado por el presidente municipal isaac montoya transformo integralmente del campo de futbol de san juan totoltepec un espacio que durante mas de anos permanecio con condiciones limitadas y que hoy cuenta con pasto sintetico nuevas luminarias gradas bancas y mejores condiciones para el desarrollo deportivo y comunitario ademas de la renovacion de la cancha se realizaron trabajos de mejoramiento urbano como instalacion y sustitucion de luminarias bacheo balizamiento limpieza general mobiliario urbano y rehabilitacion de espacios publicos fortaleciendo la imagen y funcionalidad de la comunidad esta intervencion forma parte del mundial social iniciativa impulsada para que el deporte trascienda las canchas y se convierta en una herramienta para fortalecer el tejido social promover la convivencia y generar espacios dignos para ninas ninos jovenes y familias naucalpenses aquigobiernalaesperanza naucalpan huellasdelatransformacion mundialsocial,3,Obras y proyectos,"desarrollo, mejoramiento, rehabilitacion, renovacion"
68,ni la lluvia pudo detener la alegria de san juan totoltepec al recibir una cancha completamente transformada un espacio que durante mas de anos permanecio en el olvido y que hoy renace para convertirse en un punto de encuentro para la comunidad ahora ninas ninos jovenes y personas adultas cuentan con un espacio digno seguro y moderno para convivir hacer deporte y fortalecer el tejido social porque transformar los espacios publicos tambien significa fortalecer los lazos comunitarios generar bienestar y construir un mejor futuro para todas y todos esta cancha renovada forma parte de las huellas del mundialsocial impulsadas por nuestra presidenta claudia sheinbaum pardo una iniciativa que busca que la pasion por el futbol se convierta en bienestar inclusion salud y espacios publicos que permanezcan como legado para las futuras generaciones me emociona ver a las y los vecinos apropiarse de este espacio desde el primer dia ver a las ninas y ninos jugar bajo la lluvia y escuchar a quienes durante decadas esperaron una transformacion como esta porque gobernar significa estar en el territorio escuchar al pueblo y responder con hechos ademas de la rehabilitacion integral de la cancha realizamos la instalacion de pasto sintetico nuevas luminarias gradas bancas malla ciclonica murales mobiliario urbano limpieza general balizamiento y trabajos complementarios de bacheo y mejoramiento urbano en la comunidad seguiremos dejando huellas de transformacion en cada colonia pueblo y fraccionamiento de ciudad naucalpan porque las comunidades que durante anos fueron olvidadas merecen espacios dignos que inspiren esperanza union y orgullo comunitario aquigobiernalaesperanza naucalpan huellasdelatransformacion,4,Morena (+ / neutro),"sheinbaum, transformacion"
69,en vivo una nueva huella del mundialsocial llega a sanjuantotoltepec naucalpan,-1,No clasificado,
70,delito portacion de arma de fuego y lesiones en loma colorada estos resultados son gracias al trabajo coordinado con la guardia nacional la sedena y la policia estatal en el marco de la estrategia operativa oriente aquigobiernalaesperanza naucalpan guardiamunicipal seguridad,1,Seguridad,"guardia, policia, seguridad"
71,en el marco del dia mundial del medio ambiente el gobierno de ciudad naucalpan encabezado por el presidente municipal isaac montoya llevo a cabo una jornada de concientizacion y educacion ambiental en el cerro de moctezuma con actividades dirigidas a promover el cuidado de nuestros recursos naturales y la proteccion de la biodiversidad aquigobiernalaesperanza naucalpan diamundialdelmedioambiente,1,Seguridad,proteccion
72,mas familias naucalpenses continuan recibiendo las becasritacetina como parte del cuarto dia de entrega de tarjetas de este programa impulsado por el gobierno de mexico se otorgaron apoyos a estudiantes de educacion basica en san agustin fortaleciendo el acceso a la educacion y contribuyendo a la economia de los hogares la jornada fue encabezada por el presidente municipal isaac montoya acompanado por elizabeth rocha zaragoza encargada de las becas para el bienestar del gobierno de mexico quienes destacaron que este apoyo representa una herramienta para garantizar la permanencia escolar y ampliar las oportunidades para las ninas ninos y adolescentes ademas las y los estudiantes que presenten alguna condicion visual podran acceder gratuitamente a lentes graduados fortaleciendo las condiciones para su aprendizaje y desarrollo academico aquigobiernalaesperanza naucalpan,3,Obras y proyectos,desarrollo
73,acompane a elizabeth rocha encargada de las becas para el bienestar del gobierno de mexico en el cuarto dia de entrega de tarjetas de la becaritacetina en esta jornada realizada en san agustin mas de mil estudiantes de educacion basica recibieron este apoyo que fortalece su derecho a la educacion y contribuye a la economia de las familias ademas al acercar las entregas directamente a las comunidades facilitamos el acceso a este beneficio y evitamos traslados y gastos innecesarios para madres padres y tutores la educacion transforma vidas y abre oportunidades por ello seguimos trabajando para que ningun nino o nina vea limitado su futuro por motivos economicos gracias a este esfuerzo coordinado mas de mil estudiantes de ciudad naucalpan recibiran este apoyo que hoy es un derecho y una realidad para miles de familias ademas en coordinacion con el gobierno de mexico encabezado por nuestra presidenta de mexico claudia sheinbaum pardo impulsamos iniciativas complementarias para fortalecer el desarrollo de nuestras infancias las y los estudiantes que presenten alguna condicion visual podran acceder gratuitamente a lentes graduados contribuyendo a que cuenten con mejores herramientas para su aprendizaje y desarrollo academico aquigobiernalaesperanza naucalpan becaritacetina,3,Obras y proyectos,desarrollo
74,con bailes y sorpresas celebramos una nueva huella del mundialsocial con la que transformamos integralmente la cancha y el parque de la calle barranca maritan para ponerlos al servicio de las familias de la comunidad hace anos imaginamos que este espacio podia convertirse en un lugar digno para que nuestras ninas ninos y jovenes convivieran hicieran deporte y construyeran comunidad hoy ese sueno es una realidad donde antes habia abandono hoy hay una cancha con pasto sintetico alumbrado juegos infantiles renovados y un entorno seguro para todas y todos ahora esta cancha le pertenece a la comunidad cuidemosla y hagamos de ella un espacio para la convivencia el deporte y la esperanza aquigobiernalaesperanza naucalpan huellasdelmundial,0,Servicios,alumbrado
75,encubrimiento por receptacion en minas palacio estos resultados son gracias al trabajo coordinado con la guardia nacional la sedena y la policia estatal en el marco de la estrategia operativa oriente aquigobiernalaesperanza naucalpan guardiamunicipal seguridad,1,Seguridad,"guardia, policia, seguridad"
76,las huella del mundialsocial llegaron a las huertas tercera seccion donde antes habia un espacio en abandono hoy hay un lugar para el deporte la convivencia y el bienestar de las familias el gobierno de ciudad naucalpan encabezado por el presidente municipal isaac montoya transformo la cancha y el parque de la calle barranca maritan en un espacio digno seguro y accesible para ninas ninos jovenes y personas adultas con la instalacion de pasto sintetico alumbrado gradas juegos infantiles malla ciclonica bancas y diversas mejoras urbanas este espacio se transforma en un punto de encuentro para fortalecer la actividad fisica la recreacion y el tejido comunitario ademas en la colonia se realizaron trabajos complementarios de bacheo rehabilitacion de luminarias reparacion de fugas balizamiento y mejoramiento de areas verdes reafirmando el compromiso de seguir dejando huellas de bienestar en cada comunidad aquigobiernalaesperanza naucalpan huellasdelmundialsocial,0,Servicios,"alumbrado, fugas, luminarias"
77,en el marco del dia mundial del medio ambiente el gobierno de ciudad naucalpan encabezado por el presidente municipal isaac montoya llevo a cabo una jornada de concientizacion y educacion ambiental en el cerro de moctezuma con actividades dirigidas a promover el cuidado de nuestros recursos naturales y la proteccion de la biodiversidad durante esta jornada familias naucalpenses participaron en conferencias talleres juegos con tematica ambiental y modulos informativos sobre bienestar animal gracias al trabajo coordinado de distintas areas del gobierno municipal entre ellas la direccion de medio ambiente imcufiden imnis guardia municipal y bienestar e inclusion social ademas se conto con la participacion de agrupaciones y especialistas comprometidos con la conservacion ambiental asi como con la presentacion de danza folklorica y un reconocimiento a la brigada aguilas harris por su labor en favor del medio ambiente reafirmamos nuestro compromiso de construir una comunidad mas consciente participativa y responsable con el entorno porque cuidar el medio ambiente es cuidar el bienestar y el futuro de todas y todos aquigobiernalaesperanza naucalpan diamundialdelmedioambiente medioambiente cerrodemoctezuma,1,Seguridad,"guardia, proteccion"
78,como parte del fortalecimiento de la estrategia operativa oriente y de las acciones conjuntas en materia de seguridad este dia la guardia municipal de ciudad naucalpan recibio la visita del general raul martinez gonzalez responsable del mando unico del operativo estrategia oriente quien constato los trabajos coordinados que se realizan entre los tres ordenes de gobierno durante la supervision por parte de mando unico se instruyo a los integrantes de la secretaria de la defensa nacional sedena guardia nacional policia estatal y guardia municipal reforzar la seguridad y la presencia operativa en la region en el encuentro se revisaron los avances y objetivos de la estrategia implementada ademas de verificarse aspectos relacionados con la disciplina presentacion y correcto uso del uniforme por parte de los elementos participantes asi mismo se dio seguimiento a las metas operativas establecidas y se giraron instrucciones para fortalecer y dar continuidad a los despliegues y acciones conjuntas que se desarrollan en beneficio de la ciudadania estas supervisiones permiten evaluar resultados reforzar la coordinacion interinstitucional y mantener una estrategia integral que contribuya a preservar el orden la paz y la seguridad de las y los habitantes de naucalpan aquigobiernalaesperanza naucalpan guardiamunicipal seguridad,1,Seguridad,"guardia, policia, seguridad"
79,con bailes y sorpresas celebramos una nueva huella del mundialsocial con la que transformamos integralmente la cancha y el parque de la calle barranca maritan para ponerlos al servicio de las familias de la comunidad hace anos imaginamos que este espacio podia convertirse en un lugar digno para que nuestras ninas ninos y jovenes convivieran hicieran deporte y construyeran comunidad hoy ese sueno es una realidad donde antes habia abandono hoy hay una cancha con pasto sintetico alumbrado juegos infantiles renovados y un entorno seguro para todas y todos esta transformacion forma parte del mundial social impulsado por nuestra presidenta de mexico claudia sheinbaum pardo una iniciativa que busca que el deporte sea una herramienta para la inclusion la salud la convivencia y el bienestar de nuestras comunidades ademas seguimos trabajando en las huertas con trabajos de bacheo rehabilitacion de luminarias reparacion de fugas y mejoramiento de espacios publicos porque la transformacion se construye todos los dias desde el territorio y junto a la gente ahora esta cancha le pertenece a la comunidad cuidemosla y hagamos de ella un espacio para la convivencia el deporte y la esperanza aquigobiernalaesperanza naucalpan huellasdelatransformacion mundialsocial,0,Servicios,"alumbrado, fugas, luminarias"
80,no estas sola ni solo siempre hay razones para seguir adelante si atraviesas un momento dificil recuerda que pedir ayuda es un acto de valentia en la guardia municipal de naucalpan contamos con personal capacitado para escucharte orientarte y acompanarte tu vida importa tu bienestar es nuestra mision aquigobiernalaesperanza naucalpan guardiamunicipal,1,Seguridad,guardia
81,robo a interior de vehiculo en loma colorada estos resultados son gracias al trabajo coordinado con la guardia nacional la sedena y la policia estatal en el marco de la estrategia operativa oriente aquigobiernalaesperanza naucalpan guardiamunicipal seguridad,1,Seguridad,"guardia, policia, robo, seguridad"
82,en vivo nos encontramos en recorridos en diferentes comunidades de ciudad naucalpan aquigobiernalaesperanza naucalpan,-1,No clasificado,
83,sexagesima octava sesion ordinaria de cabildo resolutiva octogesima cuarta ayuntamiento de naucalpan de juarez ciudadnaucalpan aquigobiernalaesperanza,4,Morena (+ / neutro),cuarta
84,en coordinacion con el gobierno del estado de mexico encabezado por la gobernadora del estado de mexico la maestra delfina gomez alvarez ciudad naucalpan fue sede de la entrega de mil tarjetas del programa mujeres con bienestar para fortalecer la economia de las mujeres y contribuir al bienestar de sus familias durante tres dias miles de naucalpenses acudieron a la unidad deportiva cuauhtemoc para recibir este apoyo que ademas del respaldo economico contempla beneficios adicionales como atencion medica asesoria legal orientacion nutricional apoyo para la conclusion de estudios atencion veterinaria para mascotas y descuentos en diversos establecimientos el presidente municipal isaac montoya marquez y el secretario de bienestar del estado de mexico juan carlos gonzalez romero destacaron que este programa representa una herramienta para fortalecer la autonomia de las mujeres ampliar sus oportunidades y reconocer el papel fundamental que desempenan en sus hogares y comunidades aquigobiernalaesperanza naucalpan mujeresconbienestar,-1,No clasificado,
