tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,ranking_contribucion,mensaje
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,12.87,-0.0797,Alta,Polaridad negativa,Alta,14.96,0.414154,0.037448,0.465871,1,Seguridad y Criminalidad - Violencia_crimen_organizado: Polaridad negativa | impacto Alta | confianza Alta | contribución 14.96%.
0,basura,Servicios e Infraestructura Pública - Basura,8.55,-0.0424,Alta,Polaridad negativa,Alta,10.77,0.298013,0.047168,0.471044,2,Servicios e Infraestructura Pública - Basura: Polaridad negativa | impacto Alta | confianza Alta | contribución 10.77%.
6,gobierno,Gobernanza y Administración Pública - Gobierno,18.28,-0.0438,Alta,Polaridad negativa,Alta,9.64,0.26679,0.032094,0.488125,3,Gobernanza y Administración Pública - Gobierno: Polaridad negativa | impacto Alta | confianza Alta | contribución 9.64%.
4,educacion,Educación y Cultura - Educacion,5.74,0.037,Alta,Polaridad positiva,Alta,9.43,0.261001,0.08993,0.44483,4,Educación y Cultura - Educacion: Polaridad positiva | impacto Alta | confianza Alta | contribución 9.43%.
3,obras,Obra Pública e Inversión - Obras,5.85,0.0139,Alta,Polaridad positiva,Alta,9.16,0.253555,0.066669,0.338045,5,Obra Pública e Inversión - Obras: Polaridad positiva | impacto Alta | confianza Alta | contribución 9.16%.
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,4.63,-0.0599,Alta,Polaridad negativa,Alta,8.9,0.246431,0.026732,0.327456,6,Seguridad y Criminalidad - Violencia_personas: Polaridad negativa | impacto Alta | confianza Alta | contribución 8.90%.
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,7.37,0.0275,Alta,Polaridad positiva,Alta,8.03,0.222212,0.06728,0.29241,7,Seguridad y Criminalidad - Prevencion_vigilancia: Polaridad positiva | impacto Alta | confianza Alta | contribución 8.03%.
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,4.35,0.0794,Alta,Polaridad positiva,Alta,7.4,0.204831,0.093146,0.239503,8,Servicios e Infraestructura Pública - Alumbrado: Polaridad positiva | impacto Alta | confianza Alta | contribución 7.40%.
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,4.38,-0.0435,Alta,Polaridad negativa,Alta,6.39,0.176962,0.025809,0.221459,9,Seguridad y Criminalidad - Delitos_patrimoniales: Polaridad negativa | impacto Alta | confianza Alta | contribución 6.39%.
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.68,-0.0401,Alta,Polaridad negativa,Baja,5.61,0.155364,0.00813,0.149869,10,Medio Ambiente y Servicios de Agua - Pavimento: Polaridad negativa | impacto Alta | confianza Baja | contribución 5.61%.
4,cultura,Educación y Cultura - Cultura,3.65,-0.0212,Alta,Polaridad negativa,Alta,3.74,0.103496,0.031228,0.409102,11,Educación y Cultura - Cultura: Polaridad negativa | impacto Alta | confianza Alta | contribución 3.74%.
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,5.47,-0.0518,Alta,Polaridad negativa,Media,3.33,0.092165,0.012715,0.108383,12,Medio Ambiente y Servicios de Agua - Vialidad: Polaridad negativa | impacto Alta | confianza Media | contribución 3.33%.
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.34,-0.0675,Alta,Polaridad negativa,Baja,2.39,0.066126,0.001674,0.091932,13,Medio Ambiente y Servicios de Agua - Drenaje: Polaridad negativa | impacto Alta | confianza Baja | contribución 2.39%.
0,agua,Servicios e Infraestructura Pública - Agua,2.38,0.0207,Baja,Polaridad positiva,Baja,0.25,-0.006887,0.032243,0.141316,14,Servicios e Infraestructura Pública - Agua: Polaridad positiva | impacto Baja | confianza Baja | contribución 0.25%.
