tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion
0,agua,Servicios e Infraestructura Pública - Agua,2.64,0.0271,Media,Polaridad positiva,Media,1.52,0.04341,0.042948,0.195868
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,3.17,0.0693,Alta,Polaridad positiva,Alta,5.1,0.145226,0.085718,0.235217
0,basura,Servicios e Infraestructura Pública - Basura,6.76,-0.0373,Alta,Polaridad negativa,Alta,8.61,0.245239,0.049139,0.479535
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,5.68,-0.0692,Alta,Polaridad negativa,Alta,10.48,0.298483,0.029927,0.337907
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,8.36,0.0373,Alta,Polaridad positiva,Alta,7.21,0.205318,0.070613,0.254315
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,6.76,-0.0832,Alta,Polaridad negativa,Alta,11.67,0.332437,0.030121,0.362549
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,1.82,-0.0459,Alta,Polaridad negativa,Alta,5.78,0.164684,0.023396,0.211209
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.42,-0.0979,Alta,Polaridad negativa,Baja,2.48,0.070572,0.001922,0.074426
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.72,-0.0711,Alta,Polaridad negativa,Media,7.13,0.2031,0.007728,0.212094
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,6.57,-0.0387,Alta,Polaridad negativa,Media,3.85,0.109773,0.022279,0.121033
3,obras,Obra Pública e Inversión - Obras,6.69,0.0301,Alta,Polaridad positiva,Alta,10.09,0.287442,0.082032,0.335986
4,cultura,Educación y Cultura - Cultura,3.58,0.0006,Alta,Polaridad positiva,Alta,5.21,0.148535,0.048392,0.417576
4,educacion,Educación y Cultura - Educacion,10.02,0.0421,Alta,Polaridad positiva,Alta,10.52,0.299694,0.101545,0.484703
6,gobierno,Gobernanza y Administración Pública - Gobierno,17.68,-0.06,Alta,Polaridad negativa,Alta,10.36,0.29519,0.032539,0.48113
